"icd","ccs","ccsdesc","icd_chp"
"01303",1,"Tuberculosis","infectious and parasitic diseases"
"01304",1,"Tuberculosis","infectious and parasitic diseases"
"01305",1,"Tuberculosis","infectious and parasitic diseases"
"01306",1,"Tuberculosis","infectious and parasitic diseases"
"01310",1,"Tuberculosis","infectious and parasitic diseases"
"01311",1,"Tuberculosis","infectious and parasitic diseases"
"01312",1,"Tuberculosis","infectious and parasitic diseases"
"01313",1,"Tuberculosis","infectious and parasitic diseases"
"01314",1,"Tuberculosis","infectious and parasitic diseases"
"01315",1,"Tuberculosis","infectious and parasitic diseases"
"01316",1,"Tuberculosis","infectious and parasitic diseases"
"01320",1,"Tuberculosis","infectious and parasitic diseases"
"01321",1,"Tuberculosis","infectious and parasitic diseases"
"01322",1,"Tuberculosis","infectious and parasitic diseases"
"01323",1,"Tuberculosis","infectious and parasitic diseases"
"01324",1,"Tuberculosis","infectious and parasitic diseases"
"01325",1,"Tuberculosis","infectious and parasitic diseases"
"01326",1,"Tuberculosis","infectious and parasitic diseases"
"01330",1,"Tuberculosis","infectious and parasitic diseases"
"01331",1,"Tuberculosis","infectious and parasitic diseases"
"01332",1,"Tuberculosis","infectious and parasitic diseases"
"01333",1,"Tuberculosis","infectious and parasitic diseases"
"01334",1,"Tuberculosis","infectious and parasitic diseases"
"01335",1,"Tuberculosis","infectious and parasitic diseases"
"01336",1,"Tuberculosis","infectious and parasitic diseases"
"01340",1,"Tuberculosis","infectious and parasitic diseases"
"01341",1,"Tuberculosis","infectious and parasitic diseases"
"01342",1,"Tuberculosis","infectious and parasitic diseases"
"01343",1,"Tuberculosis","infectious and parasitic diseases"
"01344",1,"Tuberculosis","infectious and parasitic diseases"
"01345",1,"Tuberculosis","infectious and parasitic diseases"
"01346",1,"Tuberculosis","infectious and parasitic diseases"
"01350",1,"Tuberculosis","infectious and parasitic diseases"
"01351",1,"Tuberculosis","infectious and parasitic diseases"
"01352",1,"Tuberculosis","infectious and parasitic diseases"
"01353",1,"Tuberculosis","infectious and parasitic diseases"
"01354",1,"Tuberculosis","infectious and parasitic diseases"
"01355",1,"Tuberculosis","infectious and parasitic diseases"
"01356",1,"Tuberculosis","infectious and parasitic diseases"
"01360",1,"Tuberculosis","infectious and parasitic diseases"
"01361",1,"Tuberculosis","infectious and parasitic diseases"
"01362",1,"Tuberculosis","infectious and parasitic diseases"
"01363",1,"Tuberculosis","infectious and parasitic diseases"
"01364",1,"Tuberculosis","infectious and parasitic diseases"
"01365",1,"Tuberculosis","infectious and parasitic diseases"
"01366",1,"Tuberculosis","infectious and parasitic diseases"
"01380",1,"Tuberculosis","infectious and parasitic diseases"
"01381",1,"Tuberculosis","infectious and parasitic diseases"
"01382",1,"Tuberculosis","infectious and parasitic diseases"
"01383",1,"Tuberculosis","infectious and parasitic diseases"
"01384",1,"Tuberculosis","infectious and parasitic diseases"
"01385",1,"Tuberculosis","infectious and parasitic diseases"
"01386",1,"Tuberculosis","infectious and parasitic diseases"
"01390",1,"Tuberculosis","infectious and parasitic diseases"
"01391",1,"Tuberculosis","infectious and parasitic diseases"
"01392",1,"Tuberculosis","infectious and parasitic diseases"
"01393",1,"Tuberculosis","infectious and parasitic diseases"
"01394",1,"Tuberculosis","infectious and parasitic diseases"
"01395",1,"Tuberculosis","infectious and parasitic diseases"
"01396",1,"Tuberculosis","infectious and parasitic diseases"
"01400",1,"Tuberculosis","infectious and parasitic diseases"
"01401",1,"Tuberculosis","infectious and parasitic diseases"
"01402",1,"Tuberculosis","infectious and parasitic diseases"
"01403",1,"Tuberculosis","infectious and parasitic diseases"
"01404",1,"Tuberculosis","infectious and parasitic diseases"
"01405",1,"Tuberculosis","infectious and parasitic diseases"
"01406",1,"Tuberculosis","infectious and parasitic diseases"
"01480",1,"Tuberculosis","infectious and parasitic diseases"
"01481",1,"Tuberculosis","infectious and parasitic diseases"
"01482",1,"Tuberculosis","infectious and parasitic diseases"
"01483",1,"Tuberculosis","infectious and parasitic diseases"
"01484",1,"Tuberculosis","infectious and parasitic diseases"
"01485",1,"Tuberculosis","infectious and parasitic diseases"
"01486",1,"Tuberculosis","infectious and parasitic diseases"
"01500",1,"Tuberculosis","infectious and parasitic diseases"
"01501",1,"Tuberculosis","infectious and parasitic diseases"
"01502",1,"Tuberculosis","infectious and parasitic diseases"
"01503",1,"Tuberculosis","infectious and parasitic diseases"
"01504",1,"Tuberculosis","infectious and parasitic diseases"
"01505",1,"Tuberculosis","infectious and parasitic diseases"
"01506",1,"Tuberculosis","infectious and parasitic diseases"
"01510",1,"Tuberculosis","infectious and parasitic diseases"
"01511",1,"Tuberculosis","infectious and parasitic diseases"
"01512",1,"Tuberculosis","infectious and parasitic diseases"
"01513",1,"Tuberculosis","infectious and parasitic diseases"
"01514",1,"Tuberculosis","infectious and parasitic diseases"
"01515",1,"Tuberculosis","infectious and parasitic diseases"
"01516",1,"Tuberculosis","infectious and parasitic diseases"
"01520",1,"Tuberculosis","infectious and parasitic diseases"
"01521",1,"Tuberculosis","infectious and parasitic diseases"
"01522",1,"Tuberculosis","infectious and parasitic diseases"
"01523",1,"Tuberculosis","infectious and parasitic diseases"
"01524",1,"Tuberculosis","infectious and parasitic diseases"
"01525",1,"Tuberculosis","infectious and parasitic diseases"
"01526",1,"Tuberculosis","infectious and parasitic diseases"
"01550",1,"Tuberculosis","infectious and parasitic diseases"
"01551",1,"Tuberculosis","infectious and parasitic diseases"
"01552",1,"Tuberculosis","infectious and parasitic diseases"
"01553",1,"Tuberculosis","infectious and parasitic diseases"
"01554",1,"Tuberculosis","infectious and parasitic diseases"
"01555",1,"Tuberculosis","infectious and parasitic diseases"
"01556",1,"Tuberculosis","infectious and parasitic diseases"
"01560",1,"Tuberculosis","infectious and parasitic diseases"
"01561",1,"Tuberculosis","infectious and parasitic diseases"
"01562",1,"Tuberculosis","infectious and parasitic diseases"
"01563",1,"Tuberculosis","infectious and parasitic diseases"
"01564",1,"Tuberculosis","infectious and parasitic diseases"
"01565",1,"Tuberculosis","infectious and parasitic diseases"
"01566",1,"Tuberculosis","infectious and parasitic diseases"
"01570",1,"Tuberculosis","infectious and parasitic diseases"
"01571",1,"Tuberculosis","infectious and parasitic diseases"
"01572",1,"Tuberculosis","infectious and parasitic diseases"
"01573",1,"Tuberculosis","infectious and parasitic diseases"
"01574",1,"Tuberculosis","infectious and parasitic diseases"
"01575",1,"Tuberculosis","infectious and parasitic diseases"
"01576",1,"Tuberculosis","infectious and parasitic diseases"
"01580",1,"Tuberculosis","infectious and parasitic diseases"
"01581",1,"Tuberculosis","infectious and parasitic diseases"
"01582",1,"Tuberculosis","infectious and parasitic diseases"
"01583",1,"Tuberculosis","infectious and parasitic diseases"
"01584",1,"Tuberculosis","infectious and parasitic diseases"
"01585",1,"Tuberculosis","infectious and parasitic diseases"
"01586",1,"Tuberculosis","infectious and parasitic diseases"
"01590",1,"Tuberculosis","infectious and parasitic diseases"
"01591",1,"Tuberculosis","infectious and parasitic diseases"
"01592",1,"Tuberculosis","infectious and parasitic diseases"
"01593",1,"Tuberculosis","infectious and parasitic diseases"
"01594",1,"Tuberculosis","infectious and parasitic diseases"
"01595",1,"Tuberculosis","infectious and parasitic diseases"
"01596",1,"Tuberculosis","infectious and parasitic diseases"
"01600",1,"Tuberculosis","infectious and parasitic diseases"
"01601",1,"Tuberculosis","infectious and parasitic diseases"
"01602",1,"Tuberculosis","infectious and parasitic diseases"
"01603",1,"Tuberculosis","infectious and parasitic diseases"
"01604",1,"Tuberculosis","infectious and parasitic diseases"
"01605",1,"Tuberculosis","infectious and parasitic diseases"
"01606",1,"Tuberculosis","infectious and parasitic diseases"
"01610",1,"Tuberculosis","infectious and parasitic diseases"
"01611",1,"Tuberculosis","infectious and parasitic diseases"
"01612",1,"Tuberculosis","infectious and parasitic diseases"
"01613",1,"Tuberculosis","infectious and parasitic diseases"
"01614",1,"Tuberculosis","infectious and parasitic diseases"
"01615",1,"Tuberculosis","infectious and parasitic diseases"
"01616",1,"Tuberculosis","infectious and parasitic diseases"
"01620",1,"Tuberculosis","infectious and parasitic diseases"
"01621",1,"Tuberculosis","infectious and parasitic diseases"
"01622",1,"Tuberculosis","infectious and parasitic diseases"
"01623",1,"Tuberculosis","infectious and parasitic diseases"
"01624",1,"Tuberculosis","infectious and parasitic diseases"
"01625",1,"Tuberculosis","infectious and parasitic diseases"
"01626",1,"Tuberculosis","infectious and parasitic diseases"
"01630",1,"Tuberculosis","infectious and parasitic diseases"
"01631",1,"Tuberculosis","infectious and parasitic diseases"
"01632",1,"Tuberculosis","infectious and parasitic diseases"
"01633",1,"Tuberculosis","infectious and parasitic diseases"
"01634",1,"Tuberculosis","infectious and parasitic diseases"
"01635",1,"Tuberculosis","infectious and parasitic diseases"
"01636",1,"Tuberculosis","infectious and parasitic diseases"
"01640",1,"Tuberculosis","infectious and parasitic diseases"
"01641",1,"Tuberculosis","infectious and parasitic diseases"
"01642",1,"Tuberculosis","infectious and parasitic diseases"
"01643",1,"Tuberculosis","infectious and parasitic diseases"
"01644",1,"Tuberculosis","infectious and parasitic diseases"
"01645",1,"Tuberculosis","infectious and parasitic diseases"
"01646",1,"Tuberculosis","infectious and parasitic diseases"
"01650",1,"Tuberculosis","infectious and parasitic diseases"
"01651",1,"Tuberculosis","infectious and parasitic diseases"
"01652",1,"Tuberculosis","infectious and parasitic diseases"
"01653",1,"Tuberculosis","infectious and parasitic diseases"
"01654",1,"Tuberculosis","infectious and parasitic diseases"
"01655",1,"Tuberculosis","infectious and parasitic diseases"
"01656",1,"Tuberculosis","infectious and parasitic diseases"
"01660",1,"Tuberculosis","infectious and parasitic diseases"
"01661",1,"Tuberculosis","infectious and parasitic diseases"
"01662",1,"Tuberculosis","infectious and parasitic diseases"
"01663",1,"Tuberculosis","infectious and parasitic diseases"
"01664",1,"Tuberculosis","infectious and parasitic diseases"
"01665",1,"Tuberculosis","infectious and parasitic diseases"
"01666",1,"Tuberculosis","infectious and parasitic diseases"
"01670",1,"Tuberculosis","infectious and parasitic diseases"
"01671",1,"Tuberculosis","infectious and parasitic diseases"
"01672",1,"Tuberculosis","infectious and parasitic diseases"
"01673",1,"Tuberculosis","infectious and parasitic diseases"
"01674",1,"Tuberculosis","infectious and parasitic diseases"
"01675",1,"Tuberculosis","infectious and parasitic diseases"
"01676",1,"Tuberculosis","infectious and parasitic diseases"
"01690",1,"Tuberculosis","infectious and parasitic diseases"
"01691",1,"Tuberculosis","infectious and parasitic diseases"
"01692",1,"Tuberculosis","infectious and parasitic diseases"
"01693",1,"Tuberculosis","infectious and parasitic diseases"
"01694",1,"Tuberculosis","infectious and parasitic diseases"
"01695",1,"Tuberculosis","infectious and parasitic diseases"
"01696",1,"Tuberculosis","infectious and parasitic diseases"
"01700",1,"Tuberculosis","infectious and parasitic diseases"
"01701",1,"Tuberculosis","infectious and parasitic diseases"
"01702",1,"Tuberculosis","infectious and parasitic diseases"
"01703",1,"Tuberculosis","infectious and parasitic diseases"
"01704",1,"Tuberculosis","infectious and parasitic diseases"
"01705",1,"Tuberculosis","infectious and parasitic diseases"
"01706",1,"Tuberculosis","infectious and parasitic diseases"
"01710",1,"Tuberculosis","infectious and parasitic diseases"
"01711",1,"Tuberculosis","infectious and parasitic diseases"
"01712",1,"Tuberculosis","infectious and parasitic diseases"
"01713",1,"Tuberculosis","infectious and parasitic diseases"
"01714",1,"Tuberculosis","infectious and parasitic diseases"
"01715",1,"Tuberculosis","infectious and parasitic diseases"
"01716",1,"Tuberculosis","infectious and parasitic diseases"
"01720",1,"Tuberculosis","infectious and parasitic diseases"
"01721",1,"Tuberculosis","infectious and parasitic diseases"
"01722",1,"Tuberculosis","infectious and parasitic diseases"
"01723",1,"Tuberculosis","infectious and parasitic diseases"
"01724",1,"Tuberculosis","infectious and parasitic diseases"
"01725",1,"Tuberculosis","infectious and parasitic diseases"
"01726",1,"Tuberculosis","infectious and parasitic diseases"
"01730",1,"Tuberculosis","infectious and parasitic diseases"
"01731",1,"Tuberculosis","infectious and parasitic diseases"
"01732",1,"Tuberculosis","infectious and parasitic diseases"
"01733",1,"Tuberculosis","infectious and parasitic diseases"
"01734",1,"Tuberculosis","infectious and parasitic diseases"
"01735",1,"Tuberculosis","infectious and parasitic diseases"
"01736",1,"Tuberculosis","infectious and parasitic diseases"
"01740",1,"Tuberculosis","infectious and parasitic diseases"
"01741",1,"Tuberculosis","infectious and parasitic diseases"
"01742",1,"Tuberculosis","infectious and parasitic diseases"
"01743",1,"Tuberculosis","infectious and parasitic diseases"
"01744",1,"Tuberculosis","infectious and parasitic diseases"
"01745",1,"Tuberculosis","infectious and parasitic diseases"
"01746",1,"Tuberculosis","infectious and parasitic diseases"
"01750",1,"Tuberculosis","infectious and parasitic diseases"
"01751",1,"Tuberculosis","infectious and parasitic diseases"
"01752",1,"Tuberculosis","infectious and parasitic diseases"
"01753",1,"Tuberculosis","infectious and parasitic diseases"
"01754",1,"Tuberculosis","infectious and parasitic diseases"
"01755",1,"Tuberculosis","infectious and parasitic diseases"
"01756",1,"Tuberculosis","infectious and parasitic diseases"
"01760",1,"Tuberculosis","infectious and parasitic diseases"
"01761",1,"Tuberculosis","infectious and parasitic diseases"
"01762",1,"Tuberculosis","infectious and parasitic diseases"
"01763",1,"Tuberculosis","infectious and parasitic diseases"
"01764",1,"Tuberculosis","infectious and parasitic diseases"
"01765",1,"Tuberculosis","infectious and parasitic diseases"
"01766",1,"Tuberculosis","infectious and parasitic diseases"
"01770",1,"Tuberculosis","infectious and parasitic diseases"
"01771",1,"Tuberculosis","infectious and parasitic diseases"
"01772",1,"Tuberculosis","infectious and parasitic diseases"
"01773",1,"Tuberculosis","infectious and parasitic diseases"
"01774",1,"Tuberculosis","infectious and parasitic diseases"
"01775",1,"Tuberculosis","infectious and parasitic diseases"
"01776",1,"Tuberculosis","infectious and parasitic diseases"
"01780",1,"Tuberculosis","infectious and parasitic diseases"
"01781",1,"Tuberculosis","infectious and parasitic diseases"
"01782",1,"Tuberculosis","infectious and parasitic diseases"
"01783",1,"Tuberculosis","infectious and parasitic diseases"
"01784",1,"Tuberculosis","infectious and parasitic diseases"
"01785",1,"Tuberculosis","infectious and parasitic diseases"
"01786",1,"Tuberculosis","infectious and parasitic diseases"
"01790",1,"Tuberculosis","infectious and parasitic diseases"
"01791",1,"Tuberculosis","infectious and parasitic diseases"
"01792",1,"Tuberculosis","infectious and parasitic diseases"
"01793",1,"Tuberculosis","infectious and parasitic diseases"
"01794",1,"Tuberculosis","infectious and parasitic diseases"
"01795",1,"Tuberculosis","infectious and parasitic diseases"
"01796",1,"Tuberculosis","infectious and parasitic diseases"
"01800",1,"Tuberculosis","infectious and parasitic diseases"
"01801",1,"Tuberculosis","infectious and parasitic diseases"
"01802",1,"Tuberculosis","infectious and parasitic diseases"
"01803",1,"Tuberculosis","infectious and parasitic diseases"
"01804",1,"Tuberculosis","infectious and parasitic diseases"
"01805",1,"Tuberculosis","infectious and parasitic diseases"
"01806",1,"Tuberculosis","infectious and parasitic diseases"
"01880",1,"Tuberculosis","infectious and parasitic diseases"
"01881",1,"Tuberculosis","infectious and parasitic diseases"
"01882",1,"Tuberculosis","infectious and parasitic diseases"
"01883",1,"Tuberculosis","infectious and parasitic diseases"
"01884",1,"Tuberculosis","infectious and parasitic diseases"
"01885",1,"Tuberculosis","infectious and parasitic diseases"
"01886",1,"Tuberculosis","infectious and parasitic diseases"
"01890",1,"Tuberculosis","infectious and parasitic diseases"
"01891",1,"Tuberculosis","infectious and parasitic diseases"
"01892",1,"Tuberculosis","infectious and parasitic diseases"
"01893",1,"Tuberculosis","infectious and parasitic diseases"
"01894",1,"Tuberculosis","infectious and parasitic diseases"
"01895",1,"Tuberculosis","infectious and parasitic diseases"
"01896",1,"Tuberculosis","infectious and parasitic diseases"
"0200",3,"Oth bact inf","infectious and parasitic diseases"
